timestamp,heart rate zone,total minutes
2024-10-09T13:46:00Z,fat burn,1
2024-10-09T16:06:00Z,fat burn,1
2024-10-09T16:13:00Z,fat burn,1
2024-10-09T16:14:00Z,fat burn,1
2024-10-09T16:18:00Z,fat burn,1
2024-10-09T16:19:00Z,cardio,2
2024-10-09T16:20:00Z,cardio,2
2024-10-09T16:21:00Z,cardio,2
2024-10-09T16:22:00Z,cardio,2
2024-10-09T16:23:00Z,cardio,2
2024-10-09T16:24:00Z,fat burn,1
2024-10-09T16:25:00Z,fat burn,1
2024-10-09T16:26:00Z,fat burn,1
2024-10-09T16:27:00Z,cardio,2
2024-10-09T16:28:00Z,cardio,2
2024-10-09T16:29:00Z,cardio,2
2024-10-09T16:30:00Z,cardio,2
2024-10-09T16:31:00Z,cardio,2
2024-10-09T16:32:00Z,peak,2
2024-10-09T16:33:00Z,peak,2
2024-10-09T16:34:00Z,cardio,2
2024-10-09T16:35:00Z,fat burn,1
2024-10-09T16:36:00Z,fat burn,1
2024-10-09T16:37:00Z,fat burn,1
2024-10-09T16:38:00Z,cardio,2
2024-10-09T16:39:00Z,cardio,2
2024-10-09T16:40:00Z,peak,2
2024-10-09T16:41:00Z,peak,2
2024-10-09T16:42:00Z,peak,2
2024-10-09T16:43:00Z,cardio,2
2024-10-09T16:44:00Z,cardio,2
2024-10-09T16:45:00Z,cardio,2
2024-10-09T16:46:00Z,cardio,2
2024-10-09T16:47:00Z,peak,2
2024-10-09T16:48:00Z,peak,2
2024-10-09T16:49:00Z,peak,2
2024-10-09T16:50:00Z,peak,2
2024-10-09T16:51:00Z,peak,2
2024-10-09T16:52:00Z,peak,2
2024-10-09T16:53:00Z,peak,2
2024-10-09T16:54:00Z,peak,2
2024-10-09T16:55:00Z,peak,2
2024-10-09T16:56:00Z,peak,2
2024-10-09T16:57:00Z,peak,2
2024-10-09T16:58:00Z,peak,2
2024-10-09T16:59:00Z,peak,2
2024-10-09T17:00:00Z,peak,2
2024-10-09T17:01:00Z,cardio,2
2024-10-09T17:02:00Z,peak,2
2024-10-09T17:03:00Z,cardio,2
2024-10-09T17:04:00Z,cardio,2
2024-10-09T17:05:00Z,peak,2
2024-10-09T17:06:00Z,peak,2
2024-10-09T17:07:00Z,peak,2
2024-10-09T17:08:00Z,peak,2
2024-10-09T17:09:00Z,peak,2
2024-10-09T17:10:00Z,peak,2
2024-10-09T17:11:00Z,peak,2
2024-10-09T17:12:00Z,peak,2
2024-10-09T17:13:00Z,peak,2
2024-10-09T17:14:00Z,cardio,2
2024-10-09T17:15:00Z,cardio,2
2024-10-09T17:16:00Z,peak,2
2024-10-09T17:17:00Z,cardio,2
2024-10-09T17:18:00Z,peak,2
2024-10-09T17:19:00Z,peak,2
2024-10-09T17:20:00Z,peak,2
2024-10-09T17:21:00Z,cardio,2
2024-10-09T17:22:00Z,cardio,2
2024-10-09T17:23:00Z,fat burn,1
2024-10-09T17:24:00Z,cardio,2
2024-10-09T17:25:00Z,fat burn,1
2024-10-09T17:26:00Z,fat burn,1
2024-10-09T17:27:00Z,fat burn,1
2024-10-09T17:28:00Z,cardio,2
2024-10-09T17:29:00Z,peak,2
2024-10-09T17:30:00Z,peak,2
2024-10-09T17:31:00Z,cardio,2
2024-10-09T17:32:00Z,cardio,2
2024-10-09T17:33:00Z,peak,2
2024-10-09T17:34:00Z,peak,2
2024-10-09T17:35:00Z,cardio,2
2024-10-09T17:36:00Z,cardio,2
2024-10-09T17:37:00Z,cardio,2
2024-10-09T17:38:00Z,fat burn,1
2024-10-09T17:39:00Z,cardio,2
2024-10-09T17:40:00Z,peak,2
2024-10-09T17:41:00Z,cardio,2
2024-10-09T17:42:00Z,cardio,2
2024-10-09T17:43:00Z,cardio,2
2024-10-09T17:44:00Z,cardio,2
2024-10-09T17:45:00Z,cardio,2
2024-10-09T17:46:00Z,cardio,2
2024-10-09T17:47:00Z,cardio,2
2024-10-09T17:48:00Z,peak,2
2024-10-09T17:49:00Z,cardio,2
2024-10-09T17:50:00Z,fat burn,1
2024-10-09T17:51:00Z,cardio,2
2024-10-09T17:52:00Z,cardio,2
2024-10-09T17:53:00Z,cardio,2
2024-10-09T17:54:00Z,cardio,2
2024-10-09T17:55:00Z,peak,2
2024-10-09T17:56:00Z,cardio,2
2024-10-09T17:57:00Z,cardio,2
2024-10-09T17:58:00Z,cardio,2
2024-10-09T17:59:00Z,cardio,2
2024-10-09T18:00:00Z,fat burn,1
2024-10-09T18:01:00Z,cardio,2
2024-10-09T18:02:00Z,cardio,2
2024-10-09T18:03:00Z,peak,2
2024-10-09T18:04:00Z,peak,2
2024-10-09T18:05:00Z,cardio,2
2024-10-09T18:06:00Z,fat burn,1
2024-10-09T18:07:00Z,fat burn,1
2024-10-09T18:08:00Z,fat burn,1
2024-10-09T18:09:00Z,fat burn,1
2024-10-09T18:11:00Z,fat burn,1
2024-10-09T18:14:00Z,fat burn,1
2024-10-09T18:15:00Z,fat burn,1
2024-10-09T18:16:00Z,fat burn,1
2024-10-09T18:17:00Z,fat burn,1
2024-10-09T18:18:00Z,fat burn,1
2024-10-09T18:19:00Z,fat burn,1
2024-10-09T18:22:00Z,fat burn,1
2024-10-09T18:23:00Z,fat burn,1
2024-10-09T18:24:00Z,fat burn,1
2024-10-09T18:25:00Z,fat burn,1
2024-10-09T18:26:00Z,fat burn,1
2024-10-09T18:27:00Z,fat burn,1
2024-10-09T18:28:00Z,fat burn,1
2024-10-09T18:29:00Z,fat burn,1
2024-10-09T18:30:00Z,fat burn,1
2024-10-09T18:31:00Z,fat burn,1
2024-10-09T18:32:00Z,fat burn,1
2024-10-09T18:33:00Z,fat burn,1
2024-10-09T18:34:00Z,fat burn,1
2024-10-09T18:35:00Z,fat burn,1
2024-10-09T19:00:00Z,fat burn,1
2024-10-09T19:01:00Z,fat burn,1
2024-10-09T19:16:00Z,fat burn,1
2024-10-09T19:20:00Z,fat burn,1
2024-10-09T19:29:00Z,fat burn,1
2024-10-09T19:30:00Z,fat burn,1
