timestamp,heart rate zone,total minutes
2024-11-27T10:48:00Z,fat burn,1
2024-11-27T10:49:00Z,fat burn,1
2024-11-27T10:51:00Z,fat burn,1
2024-11-27T10:52:00Z,fat burn,1
2024-11-27T10:53:00Z,fat burn,1
2024-11-27T10:54:00Z,fat burn,1
2024-11-27T10:56:00Z,fat burn,1
2024-11-27T10:57:00Z,fat burn,1
2024-11-27T10:58:00Z,fat burn,1
2024-11-27T10:59:00Z,fat burn,1
2024-11-27T11:00:00Z,fat burn,1
2024-11-27T11:01:00Z,fat burn,1
2024-11-27T12:28:00Z,fat burn,1
2024-11-27T12:37:00Z,fat burn,1
2024-11-27T12:38:00Z,fat burn,1
2024-11-27T12:39:00Z,fat burn,1
2024-11-27T12:40:00Z,fat burn,1
2024-11-27T12:41:00Z,cardio,2
2024-11-27T12:42:00Z,cardio,2
2024-11-27T12:43:00Z,cardio,2
2024-11-27T12:44:00Z,cardio,2
2024-11-27T12:45:00Z,peak,2
2024-11-27T12:46:00Z,cardio,2
2024-11-27T12:47:00Z,cardio,2
2024-11-27T12:48:00Z,cardio,2
2024-11-27T12:49:00Z,cardio,2
2024-11-27T12:50:00Z,peak,2
2024-11-27T12:51:00Z,cardio,2
2024-11-27T12:52:00Z,cardio,2
2024-11-27T12:53:00Z,cardio,2
2024-11-27T12:54:00Z,cardio,2
2024-11-27T12:55:00Z,cardio,2
2024-11-27T12:56:00Z,cardio,2
2024-11-27T12:57:00Z,cardio,2
2024-11-27T12:58:00Z,cardio,2
2024-11-27T12:59:00Z,cardio,2
2024-11-27T13:00:00Z,cardio,2
2024-11-27T13:01:00Z,fat burn,1
2024-11-27T13:02:00Z,cardio,2
2024-11-27T13:03:00Z,cardio,2
2024-11-27T13:04:00Z,fat burn,1
2024-11-27T13:05:00Z,cardio,2
2024-11-27T13:06:00Z,cardio,2
2024-11-27T13:07:00Z,cardio,2
2024-11-27T13:08:00Z,peak,2
2024-11-27T13:09:00Z,cardio,2
2024-11-27T13:10:00Z,cardio,2
2024-11-27T13:11:00Z,peak,2
2024-11-27T13:12:00Z,peak,2
2024-11-27T13:13:00Z,peak,2
2024-11-27T13:14:00Z,cardio,2
2024-11-27T13:15:00Z,cardio,2
2024-11-27T13:16:00Z,cardio,2
